Epoch;Accuracy;Learning rate
1;0.42422062350119905;0.01
2;0.8359712230215828;0.01
3;0.8402877697841726;0.01
4;0.8611510791366906;0.01
5;0.8721822541966426;0.01
6;0.8738609112709832;0.01
7;0.873621103117506;0.01
8;0.8731414868105516;0.01
