Epoch;Accuracy;Learning rate
1;0.9101251422070534;0.01
2;0.9135381114903299;0.01
3;0.9533560864618885;0.01
4;0.944254835039818;0.01
5;0.9522184300341296;0.01
6;0.9567690557451649;0.01
7;0.9556313993174061;0.01
8;0.9556313993174061;0.01
9;0.9579067121729238;0.01
10;0.9567690557451649;0.01
