Epoch;Accuracy;Learning rate
1;0.2988313856427379;0.01
2;0.29549248747913187;0.01
3;0.27879799666110183;0.01
4;0.31886477462437396;0.01
5;0.3105175292153589;0.01
6;0.29549248747913187;0.01
7;0.328881469115192;0.01
8;0.32387312186978295;0.01
9;0.31552587646076796;0.01
