Epoch;Accuracy;Learning rate
1;0.25443645083932853;0.005
2;0.6556354916067146;0.005
3;0.8383693045563549;0.005
4;0.8563549160671463;0.005
5;0.8635491606714628;0.005
6;0.8671462829736211;0.005
7;0.8645083932853717;0.005
