Epoch;Accuracy;Learning rate
1;0.1652754590984975;0.01
2;0.39232053422370616;0.01
3;0.42070116861435725;0.01
4;0.4991652754590985;0.01
5;0.5208681135225376;0.01
6;0.5358931552587646;0.01
7;0.5876460767946577;0.01
